,EndDate,ID,Language,LegislativePeriodAbbreviation,LegislativePeriodName,LegislativePeriodNumber,Modified,StartDate
0,1987-11-29T00:00:00,42,DE,Legi. 42,42. Legislatur,42,2010-12-26T13:06:25.13,1983-11-28T00:00:00
1,1971-11-28T00:00:00,38,DE,Legi. 38,38. Legislatur,38,2010-12-26T13:06:25.13,1967-12-04T00:00:00
2,1995-12-03T00:00:00,44,DE,Legi. 44,44. Legislatur,44,2010-12-26T13:06:25.13,1991-11-25T00:00:00
3,1967-12-03T00:00:00,37,DE,Legi. 37,37. Legislatur,37,2010-12-26T13:06:25.13,1963-12-02T00:00:00
4,1983-11-27T00:00:00,41,DE,Legi. 41,41. Legislatur,41,2010-12-26T13:06:25.13,1979-11-26T00:00:00
5,2007-11-30T00:00:00,47,DE,Legi. 47,47. Legislatur,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
6,1991-11-24T00:00:00,43,DE,Legi. 43,43. Legislatur,43,2010-12-26T13:06:25.13,1987-11-30T00:00:00
7,1975-11-30T00:00:00,39,DE,Legi. 39,39. Legislatur,39,2010-12-26T13:06:25.13,1971-11-29T00:00:00
8,1979-11-25T00:00:00,40,DE,Legi. 40,40. Legislatur,40,2010-12-26T13:06:25.13,1975-12-01T00:00:00
9,2015-11-29T00:00:00,49,DE,Legi. 49,49. Legislatur,49,2011-08-23T09:44:52.18,2011-12-05T00:00:00
10,2019-11-29T00:00:00,50,DE,Legi. 50,50. Legislatur,50,2014-05-27T15:53:59.047,2015-11-30T00:00:00
11,2011-12-02T00:00:00,48,DE,Legi. 48,48. Legislatur,48,2010-12-26T13:06:25.13,2007-12-03T00:00:00
12,1999-11-30T00:00:00,45,DE,Legi. 45,45. Legislatur,45,2010-12-26T13:06:25.13,1995-12-04T00:00:00
13,2003-11-30T00:00:00,46,DE,Legi. 46,46. Legislatur,46,2015-10-12T16:51:39,1999-12-06T00:00:00
14,1987-11-29T00:00:00,42,FR,légi. 42,42e législature,42,2010-12-26T13:06:25.13,1983-11-28T00:00:00
15,1971-11-28T00:00:00,38,FR,légi. 38,38e législature,38,2010-12-26T13:06:25.13,1967-12-04T00:00:00
16,1995-12-03T00:00:00,44,FR,légi. 44,44e législature,44,2010-12-26T13:06:25.13,1991-11-25T00:00:00
17,1967-12-03T00:00:00,37,FR,légi. 37,37e législature,37,2010-12-26T13:06:25.13,1963-12-02T00:00:00
18,1983-11-27T00:00:00,41,FR,légi. 41,41e législature,41,2010-12-26T13:06:25.13,1979-11-26T00:00:00
19,2007-11-30T00:00:00,47,FR,légi. 47,47e législature,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
20,1991-11-24T00:00:00,43,FR,légi. 43,43e législature,43,2010-12-26T13:06:25.13,1987-11-30T00:00:00
21,1975-11-30T00:00:00,39,FR,légi. 39,39e législature,39,2010-12-26T13:06:25.13,1971-11-29T00:00:00
22,1979-11-25T00:00:00,40,FR,légi. 40,40e législature,40,2010-12-26T13:06:25.13,1975-12-01T00:00:00
23,2015-11-29T00:00:00,49,FR,légi. 49,49e législature,49,2011-08-23T09:44:52.18,2011-12-05T00:00:00
24,2019-11-29T00:00:00,50,FR,légi. 50,50e législature,50,2014-05-27T15:53:59.047,2015-11-30T00:00:00
25,2011-12-02T00:00:00,48,FR,légi. 48,48e législature,48,2010-12-26T13:06:25.13,2007-12-03T00:00:00
26,1999-11-30T00:00:00,45,FR,légi. 45,45e législature,45,2010-12-26T13:06:25.13,1995-12-04T00:00:00
27,2003-11-30T00:00:00,46,FR,légi. 46,46e législature,46,2015-10-12T16:51:39,1999-12-06T00:00:00
28,1987-11-29T00:00:00,42,IT,legi. 42,42a legislatura,42,2010-12-26T13:06:25.13,1983-11-28T00:00:00
29,1971-11-28T00:00:00,38,IT,legi. 38,38a legislatura,38,2010-12-26T13:06:25.13,1967-12-04T00:00:00
30,1995-12-03T00:00:00,44,IT,legi. 44,44a legislatura,44,2010-12-26T13:06:25.13,1991-11-25T00:00:00
31,1967-12-03T00:00:00,37,IT,legi. 37,37a legislatura,37,2010-12-26T13:06:25.13,1963-12-02T00:00:00
32,1983-11-27T00:00:00,41,IT,legi. 41,41a legislatura,41,2010-12-26T13:06:25.13,1979-11-26T00:00:00
33,2007-11-30T00:00:00,47,IT,legi. 47,47a legislatura,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
34,1991-11-24T00:00:00,43,IT,legi. 43,43a legislatura,43,2010-12-26T13:06:25.13,1987-11-30T00:00:00
35,1975-11-30T00:00:00,39,IT,legi. 39,39a legislatura,39,2010-12-26T13:06:25.13,1971-11-29T00:00:00
36,1979-11-25T00:00:00,40,IT,legi. 40,40a legislatura,40,2010-12-26T13:06:25.13,1975-12-01T00:00:00
37,2015-11-29T00:00:00,49,IT,legi. 49,49a legislatura,49,2011-08-23T09:44:52.18,2011-12-05T00:00:00
38,2019-11-29T00:00:00,50,IT,legi. 50,50a legislatura,50,2014-05-27T15:53:59.047,2015-11-30T00:00:00
39,2011-12-02T00:00:00,48,IT,legi. 48,48a legislatura,48,2010-12-26T13:06:25.13,2007-12-03T00:00:00
40,1999-11-30T00:00:00,45,IT,legi. 45,45a legislatura,45,2010-12-26T13:06:25.13,1995-12-04T00:00:00
41,2003-11-30T00:00:00,46,IT,legi. 46,46a legislatura,46,2015-10-12T16:51:39,1999-12-06T00:00:00
42,1987-11-29T00:00:00,42,RM,Legi. 42,42. Legislatur,42,2010-12-26T13:06:25.13,1983-11-28T00:00:00
43,1971-11-28T00:00:00,38,RM,Legi. 38,38. Legislatur,38,2010-12-26T13:06:25.13,1967-12-04T00:00:00
44,1995-12-03T00:00:00,44,RM,Legi. 44,44. Legislatur,44,2010-12-26T13:06:25.13,1991-11-25T00:00:00
45,1967-12-03T00:00:00,37,RM,Legi. 37,37. Legislatur,37,2010-12-26T13:06:25.13,1963-12-02T00:00:00
46,1983-11-27T00:00:00,41,RM,Legi. 41,41. Legislatur,41,2010-12-26T13:06:25.13,1979-11-26T00:00:00
47,2007-11-30T00:00:00,47,RM,Legi. 47,47. Legislatur,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
48,1991-11-24T00:00:00,43,RM,Legi. 43,43. Legislatur,43,2010-12-26T13:06:25.13,1987-11-30T00:00:00
49,1975-11-30T00:00:00,39,RM,Legi. 39,39. Legislatur,39,2010-12-26T13:06:25.13,1971-11-29T00:00:00
50,1979-11-25T00:00:00,40,RM,Legi. 40,40. Legislatur,40,2010-12-26T13:06:25.13,1975-12-01T00:00:00
51,2015-11-29T00:00:00,49,RM,Legi. 49,49. Legislatur,49,2011-08-23T09:44:52.18,2011-12-05T00:00:00
52,2019-11-29T00:00:00,50,RM,Legi. 50,50. Legislatur,50,2014-05-27T15:53:59.047,2015-11-30T00:00:00
53,2011-12-02T00:00:00,48,RM,Legi. 48,48. Legislatur,48,2010-12-26T13:06:25.13,2007-12-03T00:00:00
54,1999-11-30T00:00:00,45,RM,Legi. 45,45. Legislatur,45,2010-12-26T13:06:25.13,1995-12-04T00:00:00
55,2003-11-30T00:00:00,46,RM,Legi. 46,46. Legislatur,46,2015-10-12T16:51:39,1999-12-06T00:00:00
56,1987-11-29T00:00:00,42,EN,légi. 42,42e législature,42,2010-12-26T13:06:25.13,1983-11-28T00:00:00
57,1971-11-28T00:00:00,38,EN,légi. 38,38e législature,38,2010-12-26T13:06:25.13,1967-12-04T00:00:00
58,1995-12-03T00:00:00,44,EN,légi. 44,44e législature,44,2010-12-26T13:06:25.13,1991-11-25T00:00:00
59,1967-12-03T00:00:00,37,EN,légi. 37,37e législature,37,2010-12-26T13:06:25.13,1963-12-02T00:00:00
60,1983-11-27T00:00:00,41,EN,légi. 41,41e législature,41,2010-12-26T13:06:25.13,1979-11-26T00:00:00
61,2007-11-30T00:00:00,47,EN,légi. 47,47e législature,47,2010-12-26T13:06:25.13,2003-12-01T00:00:00
62,1991-11-24T00:00:00,43,EN,légi. 43,43e législature,43,2010-12-26T13:06:25.13,1987-11-30T00:00:00
63,1975-11-30T00:00:00,39,EN,légi. 39,39e législature,39,2010-12-26T13:06:25.13,1971-11-29T00:00:00
64,1979-11-25T00:00:00,40,EN,légi. 40,40e législature,40,2010-12-26T13:06:25.13,1975-12-01T00:00:00
65,2015-11-29T00:00:00,49,EN,légi. 49,49e législature,49,2011-08-23T09:44:52.18,2011-12-05T00:00:00
66,2019-11-29T00:00:00,50,EN,légi. 50,50e législature,50,2014-05-27T15:53:59.047,2015-11-30T00:00:00
67,2011-12-02T00:00:00,48,EN,légi. 48,48e législature,48,2010-12-26T13:06:25.13,2007-12-03T00:00:00
68,1999-11-30T00:00:00,45,EN,légi. 45,45e législature,45,2010-12-26T13:06:25.13,1995-12-04T00:00:00
69,2003-11-30T00:00:00,46,EN,légi. 46,46e législature,46,2015-10-12T16:51:39,1999-12-06T00:00:00
